,date,week_day,month,daily_income,unique_visitors
159,2018-11-30,4,11,3250.0,16
160,2018-12-01,5,12,6550.0,16
161,2018-12-02,6,12,3370.0,13
162,2018-12-03,0,12,2250.0,11
163,2018-12-04,1,12,2310.0,14
164,2018-12-05,2,12,2350.0,11
165,2018-12-06,3,12,2050.0,11
166,2018-12-07,4,12,4160.0,11
167,2018-12-08,5,12,3750.0,11
168,2018-12-09,6,12,1500.0,9
169,2018-12-10,0,12,2900.0,11
170,2018-12-11,1,12,1900.0,9
171,2018-12-12,2,12,1950.0,7
172,2018-12-13,3,12,2110.0,11
173,2018-12-14,4,12,3450.0,16
174,2018-12-15,5,12,3350.0,13
175,2018-12-16,6,12,2750.0,12
176,2018-12-17,0,12,2400.0,10
177,2018-12-18,1,12,1800.0,10
178,2018-12-19,2,12,1650.0,11
179,2018-12-20,3,12,4900.0,14
180,2018-12-21,4,12,3400.0,12
181,2018-12-22,5,12,4300.0,14
182,2018-12-23,6,12,800.0,7
183,2018-12-24,0,12,3900.0,15
184,2018-12-25,1,12,2300.0,11
185,2018-12-26,2,12,2450.0,6
186,2018-12-27,3,12,2550.0,12
187,2018-12-28,4,12,3970.0,11
188,2018-12-29,5,12,8550.0,14
189,2018-12-30,6,12,1250.0,13
190,2018-12-31,0,12,0.0,4
191,2019-01-01,1,1,2600.0,7
192,2019-01-02,2,1,2750.0,13
193,2019-01-03,3,1,4550.0,14
194,2019-01-04,4,1,3150.0,10
195,2019-01-05,5,1,1250.0,9
196,2019-01-06,6,1,4300.0,13
197,2019-01-07,0,1,6860.0,20
198,2019-01-08,1,1,4200.0,15
199,2019-01-09,2,1,1000.0,10
200,2019-01-10,3,1,1950.0,13
201,2019-01-11,4,1,3100.0,12
202,2019-01-12,5,1,2850.0,14
203,2019-01-13,6,1,4520.0,15
204,2019-01-14,0,1,2050.0,9
205,2019-01-15,1,1,3470.0,11
206,2019-01-16,2,1,2660.0,9
207,2019-01-17,3,1,2350.0,9
208,2019-01-18,4,1,3400.0,13
209,2019-01-19,5,1,4500.0,11
210,2019-01-20,6,1,7020.0,18
211,2019-01-21,0,1,1700.0,9
212,2019-01-22,1,1,1060.0,6
